善于	skilled
优先	priority
沟通	communication
本科	bachelor
mysql	mysql
设计	design
web	web
架构	Framework
优化	optimization
团队	team
服务	service
客户	customer
日常	daily
编写	write
规划	plan
资源	resource
专业	major
媒体	media
网站	Website
平台	platform
网络	network
市场	market
交互	interaction
任职	Job
表达	express
推广	Promotion
流程	Procedure
策划	scheme
具备	possess
方案	program
精通	proficient
管理	management
技术	technics
计划	plan
文档	document
体验	experience
制定	establish
公司	corporation
项目	project
参与	participation
学习	learn
开发	Development
功能	function
实施	implement
框架	Framework
提供	prvide
系统	system
制作	make
产品	product
分析	analyze
独立	independent
信息	information
工具	tool
语言	language
协调	balance
营销	marketing
能力	ability
学历	Education
数据	Data
优秀	perfect
需求	demand
合作	collaboration
研究	research
用户	user
部门	department
运营	Operation
解决	solve
活动	activity
执行	execute
发展	develop
业务	business
理解	understand
压力	pressure
软件	software
维护	maintain
协助	assist
组织	organize
撰写	write
熟悉	familiar
计算机	computer
意识	consciousness
数据库	database
责任心	responsibility
android	android
编程	programming
熟练	familiar
精神	spirit
代码	code
互联网	Internet
测试	test
行业	Industry
